PermissionInfoCode,PortalCodes,RelatedPermissionCodes
RegisterNewPartnerView,0,
KYCManagementComplianceTeamReviewToggle,0,KYCManagementView
KYCManagementComplianceTeamReviewToggle,2,KYCManagementView
KYCManagement_BusinessProfileViewServiceTypeField,0,KYCManagement_BusinessProfileView
KYCManagement_BusinessProfileEditServiceTypeField,0,KYCManagement_BusinessProfileView
KYCManagement_BusinessProfileViewCollectionTierField,0,KYCManagement_BusinessProfileView
KYCManagement_BusinessProfileEditCollectionTierField,0,KYCManagement_BusinessProfileView
KYCManagement_VerificationEditVerificationStatusField,0,KYCManagement_VerificationView
KYCAdministration_OnlineAMLCFTQuestionnairesEdit,0,KYCAdministration_OnlineAMLCFTQuestionnairesView
KYCAdministration_OnlineAMLCFTQuestionnairesStatusToggle,0,KYCAdministration_OnlineAMLCFTQuestionnairesView
KYCAdministration_OnlineAMLCFTQuestionnairesSettings,0,KYCAdministration_OnlineAMLCFTQuestionnairesView
KYCManagement_PartnerKYCApprovalListComplianceTeamApprovalToggle,0,KYCManagement_PartnerKYCApprovalListView
Compliance_PersonnelWatchlistAction,0,Compliance_PersonnelWatchlistView
ManagePartner_PartnerDocumentsDocumentRecordsDownload,0,ManagePartner_PartnerDocumentsView
ManagePartner_PartnerDetailsSubscribeToAnotherEntity,0,ManagePartner_PartnerDetailsView
ManagePartner_PartnerDocumentsDocumentRecordsDisplayYN,0,ManagePartner_PartnerDocumentsView
ManagePartnerUserBlockUser,0,ManagePartnerUserView;ManagePartnerUserViewDetail
KYCManagement_DocumentationPreview,1;2,
KYCManagement_TransactionEvaluationSubmit,2,
KYCManagement_VerificationUpload,2,
KYCManagement_VerificationRemove,2,
KYCManagement_VerificationSubmitVerification,2,
